"team","year","total_points","event_count","GDP_per_capita","GDP_total","GDP_growth","Population","Gini","gapminder_countryname","NOC"
"ASA","2000",0,4,"4633.47808239097","841833465.399203","1.04314992352525","181685","42.1","Samoa","American Samoa"
"ASA","2004",0,3,"5548.894483930429","1033476048.73755","1.02763921988758","186249","42.1","Samoa","American Samoa"
"ASA","2008",0,4,"6142.912396813767","1167810647.02107","1.02639627621383","190107","42.1","Samoa","American Samoa"
"ASA","2012",0,4,"6262.501247702061","1230568970.17095","0.954063742976709","196498","42.1","Samoa","American Samoa"
"ASA","2016",0,4,"6821.333742655952","1388134595.29674","1.06947334634108","203499","42.1","Samoa","American Samoa"
"ASA","2020",0,5,"6654.114693472521","1410299684.59334","0.955283148013919","211944","42.1","Samoa","American Samoa"
"ASA","2024",0,2,"6256.265560580029","1326483641.42249","1.01039210664162","218019","42.1","Samoa",NA
"AUS","1896",7,6,"6723.698666722885","23117010610.3079","1.05685498380712","3438139","37.3","Australia","Australia"
"AUS","1900",3,5,"7322.35280405623","27042847474.7652","1.04509067145891","3693191","37.5","Australia","Australia Great Britain"
"AUS","1904",0,4,"7836.302531900727","30835348939.6673","1.05371710020009","3934936","37.7","Australia","Australia"
"AUS","1920",11,22,"8695.937822794305","45863019576.816","1.01064254356791","5274074","35.9","Australia","Australia"
"AUS","1924",19,32,"9884.088864002742","56256952296.4007","1.0433784436926","5691668","35","Australia","Australia"
"AUS","1928",8,29,"9947.044844028238","61047431339.6983","0.983365395496209","6137243","33.2","Australia","Australia"
"AUS","1932",12,17,"8327.35917609959","53963036206.5523","1.04827089337175","6480210","32.4","Australia","Australia"
"AUS","1936",1,27,"10063.79957062097","67467500981.652","1.03715937241948","6703979","31.5","Australia","Australia"
"AUS","1948",29,53,"12971.73882198443","102303512093.448","1.04812464412769","7886646","33.1","Australia","Australia"
"AUS","1952",36,66,"13791.95614912388","119034291104.068","0.981808924101409","8630704","36.2","Australia","Australia"
"AUS","1956",119,136,"15319.5014059018","144381122759.149","1.00547007579495","9424662","35.2","Australia","Australia"
"AUS","1960",76,118,"16766.22795273198","172370454297.41","1.01614707337983","10280813","35.2","Australia","Australia"
"AUS","1964",63,126,"19002.62186822893","211465945807.74","1.04854868841627","11128251","35.1","Australia","Australia"
"AUS","1968",94,104,"21724.89532696765","261350773207.06","1.04601407939442","12030013","34.5","Australia","Australia"
"AUS","1972",49,109,"24255.83444707764","322721354711.585","1.01169824994614","13304896","33.4","Australia","Australia"
"AUS","1976",38,113,"26397.68885207453","370801867871.322","1.02856414706782","14046755","33.1","Australia","Australia"
"AUS","1980",24,90,"28333.93875790929","417113744331.931","1.01637633446443","14721347","32.2","Australia","Australia"
"AUS","1984",80,132,"29764.35666660018","464938687257.198","1.05510854951392","15620653","32.2","Australia","Australia"
"AUS","1988",77,141,"33298.21284055036","552553840399.164","1.02736880758174","16594099","32.9","Australia","Australia"
"AUS","1992",112,145,"34022.23101402954","597065930467.736","1.00338375935842","17549288","32.9","Australia","Australia"
"AUS","1996",212,195,"38527.68037079595","705261017185.293","1.02891732500759","18305307","32.8","Australia","Australia"
"AUS","2000",372,239,"44075.96696995171","843282159849.559","1.02860362845161","19132471","33.3","Australia","Australia"
"AUS","2004",332,198,"48231.89651881027","966889250610.013","1.03197855743007","20046677","34","Australia","Australia"
"AUS","2008",253,197,"51672.16403134228","1104264580254.39","1.01527178175373","21370589","35","Australia","Australia"
"AUS","2012",188,190,"53564.33040778062","1224086573907.38","1.02119926068151","22852644","32.4","Australia","Australia"
"AUS","2016",162,176,"55667.92415348785","1354398534941.16","1.01186265850641","24329963","32.3","Australia","Australia"
"AUS","2020",209,192,"56298.19556626624","1449328980335.08","0.984435636989731","25743791","32.3","Australia","Australia"
"AUS","2024",234,205,"59727.49463732634","1605380561606.25","1.01077264051704","26713205","32.3","Australia",NA
"AUT","1896",10,9,"4927.736254722849","28284259976.7482","1.00466744457409","5739808","23","Austria","Austria"
"AUT","1900",9,20,"5258.541313402269","31441775567.3512","0.998695652173912","5979182","23.1","Austria","Austria"
"AUT","1908",1,21,"6057.509932634917","39302354117.4516","0.99454989663597","6488203","23.2","Austria","Austria"
"AUT","1912",23,51,"6395.182916408028","42141300844.6215","1.04157345264727","6589538","23.2","Austria","Austria"
"AUT","1924",7,34,"5771.346387064485","37824827086.1819","1.1130242825607","6553900","23.3","Austria","Austria"
"AUT","1928",8,32,"6672.189228520207","44342915903.8777","1.04331483801682","6645932","23.4","Austria","Austria"
"AUT","1932",8,15,"5363.849498172189","35919291720.8344","0.894104178591871","6696551","23.4","Austria","Austria"
"AUT","1936",101,90,"5464.579066212981","36639778591.2163","1.03021148036253","6704959","23.4","Austria","Austria"
"AUT","1948",6,66,"5290.490631855673","36489259847.0876","1.28364537137706","6897141","23.7","Austria","Austria"
"AUT","1952",4,71,"7761.768302372448","53767724996.1461","1.00701318880533","6927252","24.8","Austria","Austria"
"AUT","1956",4,34,"10731.75091760967","74609965561.4647","1.0723319654208","6952264","27","Austria","Austria"
"AUT","1960",7,84,"13268.23734881616","93504904094.141","1.08568803533547","7047274","29.2","Austria","Austria"
"AUT","1964",0,54,"15736.1579548364","113668484690.175","1.05904120700761","7223395","29.8","Austria","Austria"
"AUT","1968",7,38,"18309.85934896835","135760704255.625","1.04428303825892","7414623","29.7","Austria","Austria"
"AUT","1972",4,65,"23405.60531405915","176554542935.724","1.06255213366437","7543259","28.7","Austria","Austria"
"AUT","1976",1,45,"27029.05864183311","204460151846.624","1.05214111884139","7564457","26.7","Austria","Austria"
"AUT","1980",10,50,"31157.38635364307","235188602096.157","1.02602258052078","7548406","24.7","Austria","Austria"
"AUT","1984",6,72,"33415.62364980647","252646006963.446","1.00861696166423","7560715","25.3","Austria","Austria"
"AUT","1988",3,60,"36749.51315107534","278757625584.404","1.02021711305142","7585342","28.2","Austria","Austria"
"AUT","1992",12,65,"41738.67498745393","327344407188.204","1.01595172663945","7842712","27.9","Austria","Austria"
"AUT","1996",4,52,"45532.31441633747","362478839289.422","1.02801216127797","7960914","27.3","Austria","Austria"
"AUT","2000",11,65,"52327.45013045398","419296090318.918","1.03661801439534","8012928","28.6","Austria","Austria"
"AUT","2004",18,53,"55839.61815992712","456404616473.6","1.02581601876524","8173491","29.4","Austria","Austria"
"AUT","2008",4,59,"62137.09736951513","517182782092.108","1.01584130827056","8323253","30.5","Austria","Austria"
"AUT","2012",0,64,"62808.57091192484","529576809309.556","1.00222450576943","8431601","30.6","Austria","Austria"
"AUT","2016",2,57,"62865.48638483777","549313276464.369","1.00892469139632","8737915","30.5","Austria","Austria"
"AUT","2020",8,57,"61108.42113609523","545172973865.665","0.929801740479702","8921405","30.5","Austria","Austria"
"AUT","2024",12,75,"64726.68328805784","594436418459.851","1.00819333592738","9120813","30.5","Austria",NA
"AZE","1996",2,22,"4022.691354280086","31501623586.9229","1.00993112510415","7830982","34.9","Azerbaijan","Azerbaijan"
"AZE","2000",7,29,"5457.965658081721","44617695792.2015","1.09818335109864","8174785","35.8","Azerbaijan","Azerbaijan"
"AZE","2004",7,32,"7728.189026639502","65611351084.352","1.08717101611939","8489874","33","Azerbaijan","Azerbaijan"
"AZE","2008",9,35,"17610.72773574367","157486363057.315","1.08700062768467","8942638","31.8","Azerbaijan","Azerbaijan"
"AZE","2012",15,53,"19545.07185766679","183258131395.49","1.00816684128241","9376181","32.4","Azerbaijan","Azerbaijan"
"AZE","2016",27,56,"19830.32231763078","195694108008.332","0.958228283199478","9868428","32.4","Azerbaijan","Azerbaijan"
"AZE","2020",10,48,"19126.09490313501","194736734258.096","0.950472982613052","10181730","32.4","Azerbaijan","Azerbaijan"
"AZE","2024",13,41,"21679.2234586685","221353116587.593","1.00305380631492","10336577","32.4","Azerbaijan",NA
"BAH","1952",0,3,"13748.94330119783","1184650201.6611","1.04353377646899","86163","40","Bahamas","The Bahamas"
"BAH","1956",2,4,"16289.84114787519","1588340961.12357","1.04326695815397","97505","40","Bahamas","Great Britain The Bahamas"
"BAH","1960",0,8,"19287.77300107694","2243495892.16626","1.04307400131005","116317","40","Bahamas","Great Britain The Bahamas"
"BAH","1964",6,6,"24253.30762499194","3432522121.54985","1.05979845564674","141528","40","Bahamas","The Bahamas"
"BAH","1968",0,12,"30111.46858775665","5121629580.62294","1.05070543641234","170089","42.3","Bahamas","The Bahamas"
"BAH","1972",0,14,"27489.90426797089","5389533181.25703","0.943460811201083","196055","45.8","Bahamas","The Bahamas"
"BAH","1976",0,14,"20336.41182227734","4362180672.29031","1.02990805687858","214501","44","Bahamas","The Bahamas"
"BAH","1984",0,23,"32406.19076304447","8064701851.86353","1.04451368654205","248863","43.1","Bahamas","The Bahamas"
"BAH","1988",0,15,"34101.23035895193","9086204626.68202","1.00275261198194","266448","44","Bahamas","The Bahamas"
"BAH","1992",1,13,"30240.66126039325","8646621552.20046","0.941380036011108","285927","44.1","Bahamas","The Bahamas"
"BAH","1996",10,18,"31458.41351339995","9634705389.92197","1.02380415279602","306268","43.7","Bahamas","The Bahamas"
"BAH","2000",23,18,"34912.28988058475","11305821393.4791","1.02515386780142","323835","43.7","Bahamas","The Bahamas"
"BAH","2004",4,18,"34502.53684347812","11723340973.7506","0.993729247345598","339782","43.7","Bahamas","The Bahamas"
"BAH","2008",13,22,"34100.50583112332","12212073148.2418","0.961976060470734","358120","43.7","Bahamas","The Bahamas"
"BAH","2012",12,16,"32595.3396296687","12238539575.412","1.01889639395068","375469","43.7","Bahamas","The Bahamas"
"BAH","2016",8,20,"31121.58511182871","12076886710.5706","0.98217976112325","388055","43.7","Bahamas","The Bahamas"
"BAH","2020",6,10,"24792.70652477628","9814515183.01751","0.782065339285443","395863","43.7","Bahamas","The Bahamas"
"BAH","2024",0,13,"32428.07228230848","12860279170.9553","1","401283","43.7","Bahamas",NA
"BAN","1984",0,2,"1588.906257434092","155418811548.102","1.03050145253388","97814966","26.2","Bangladesh","Bangladesh"
"BAN","1988",0,8,"1702.555188296102","182541170688.796","1.00886321500748","107216008","28","Bangladesh","Bangladesh"
"BAN","1992",0,7,"1930.58753776359","223855856851.57","1.04303975412142","115952192","28.6","Bangladesh","Bangladesh"
